Item;Fr_NR;Name;r;g;b;RGB
1;000;nichts eingeteilt;255;255;255;255,255,255
2;001;Winterweizen;255;128;64;255,128,64
3;002;Sommerweizen;255;80;0;255,80,0
4;003;Durumweizen;234;77;0;234,77,0
5;004;Winterroggen;0;255;255;0,255,255
6;005;Triticale;0;200;255;0,200,255
7;006;Wintergerste;0;206;0;0,206,0
8;008;Sommergerste;0;255;0;0,255,0
9;009;Braugerste;60;180;60;60,180,60
10;010;Hafer;50;150;50;50,150,50
11;011;Winterraps;255;255;0;255,255,0
12;012;Körnermais;0;0;255;0,0,255
13;013;Silomais;0;50;255;0,50,255
14;014;Körnererbsen;146;126;50;146,126,50
15;015;Gemüseerbsen;180;188;7;180,188,7
16;016;Kartoffeln;128;64;0;128,64,0
17;017;Sommertriticale;0;0;0;0,0,0
18;018;Stärkekartoffeln;0;0;0;0,0,0
19;019;Zuckerrüben;255;0;255;255,0,255
20;020;Öllein;128;0;128;128,0,128
21;021;Lupinen;255;128;255;255,128,255
22;022;Ackerbohnen;128;65;128;128,65,128
23;023;Sojabohne;255;255;255;255,255,255
24;024;Dinkel;255;255;255;255,255,255
25;025;EnergieP Gemisch;255;255;255;255,255,255
26;026;Sommerroggen;255;255;255;255,255,255
27;027;Hybridroggen;69;219;231;69,219,231
28;028;Flachs (Lein);255;255;255;255,255,255
29;029;Wicken;255;255;255;255,255,255
30;031;Sonnenblumen;255;255;128;255,255,128
31;032;Sommerraps;254;249;139;254,249,139
32;033;Rotschwingel;255;255;255;255,255,255
33;034;Weidelgras;255;255;255;255,255,255
34;040;Hanf;128;0;255;128,0,255
35;041;EnergieP. TC;255;255;255;255,255,255
36;042;Streuobst;172;87;172;172,87,172
37;043;EnergieP. Weizen;210;50;60;210,50,60
38;044;EnergieP. Mais;210;50;60;210,50,60
39;045;EnergieP. Roggen;210;50;60;210,50,60
40;046;EnergieP.Sudangras;210;50;60;210,50,60
41;047;EnergieP.Zuckerhirse;210;50;60;210,50,60
42;048;EnergieP.Winterrübe;210;505;60;210,505,60
43;049;ZWFR Gründüngung;210;255;60;210,255,60
44;050;Phacelia;255;128;255;255,128,255
45;051;ZWFR (Fl-Abzug);255;255;255;255,255,255
46;052;Brokkoli;255;255;255;255,255,255
47;053;Eisbergsalat;0;255;255;0,255,255
48;054;Grassamen;255;255;255;255,255,255
49;055;Klee;255;255;255;255,255,255
50;056;Luzerne;255;255;255;255,255,255
51;057;Kleegras;255;255;255;255,255,255
52;058;Gemüse (Nachbau);255;255;255;255,255,255
53;059;Blumen;255;128;255;255,128,255
54;060;Gemüse KR+BK+RD;172;87;172;172,87,172
55;061;Spargel;121;166;131;121,166,131
56;062;Radieschen;255;0;0;255,0,0
57;063;Möhren;255;255;255;255,255,255
58;064;Zwiebeln;255;255;255;255,255,255
59;065;Silberzwiebeln;255;255;255;255,255,255
60;066;Weiße Kugel /Rettich;230;230;230;230,230,230
61;067;Steckrübe;0;204;204;0,204,204
62;068;Erdbeeren;255;0;0;255,0,0
63;069;Kohlrabi;255;255;255;255,255,255
64;070;Tabak;255;255;255;255,255,255
65;071;Weiẞkohl;255;255;255;255,255,255
66;072;Rotkohl;255;255;255;255,255,255
67;073;Wirsing;255;255;255;255,255,255
68;074;Blumenkohl;255;255;255;255,255,255
69;087;Pflaume;128;0;64;128,0,64
70;084;Apfel;208;235;20;208,235,20
71;081;Salat;255;255;255;255,255,255
72;078;Majoran;255;255;255;255,255,255
73;075;Johannisbeere;255;255;213;255,255,213
74;090;Stillegung;128;128;128;128,128,128
75;091;Diemenpl�tze;255;255;255;255,255,255
76;092;sonst. lw. Nutzung;255;255;255;255,255,255
77;093;AL aus Erzeug. gen.;214;214;214;214,214,214
78;094;GL aus Erzeug. gen.;255;255;255;255,255,255
79;095;Nachw. Rohstoffe;217;209;66;217,209,66
80;096;Grünland;0;255;128;0,255,128
81;097;Wiese;255;255;255;255,255,255
82;098;Hutung;255;255;255;255,255,255
83;077;Spitzkohl;255;255;255;255,255,255
84;080;Petersilie;255;255;255;255,255,255
85;083;Feldsalat;255;255;255;255,255,255
86;086;Aprikose;233;172;143;233,172,143
87;089;Ackergras;220;250;180;220,250,180
88;088;Porree;230;250;230;230,250,230
89;085;Birne;128;255;128;128,255,128
90;082;Blühstreifen;255;255;255;255,255,255
91;079;Sellerie;255;255;255;255,255,255
92;076;Himbeere;255;72;164;255,72,164
93;035;Weidelgrasvermehrung;0;128;0;0,128,0
94;039;EnergieP. Gerste;0;128;0;0,128,0
95;036;Kürbis;20;200;150;20,200,150
96;037;Süsskirsche;40;40;140;40,40,140
97;038;Sauerkirsche;100;20;200;100,20,200
98;099;Weihnachtsbaum;80;180;60;80,180,60
99;030;EnergieP.Hafer;40;40;21;40,40,21
100;007;Emmer;255;255;255;255,255,255
101;100;Pastinaken;255;255;255;255,255,255
102;101;Brache;255;255;255;255,255,255
103;102;Honigpflanzen ÖVF;255;255;255;255,255,255
